Observation_1-01:00,Observation_1-02:00,Observation_1-03:00,Observation_1-04:00,Observation_1-05:00,Observation_1-06:00,Observation_1-07:00,Observation_1-08:00,Observation_1-09:00,Observation_1-10:00,Observation_1-11:00,Observation_1-12:00,Observation_1-13:00,Observation_1-14:00,Observation_1-15:00,Observation_1-16:00,Observation_1-17:00,Observation_1-18:00,Observation_1-19:00,Observation_1-20:00,Observation_1-21:00,Observation_1-22:00,Observation_1-23:00,Observation_10-00:00,Observation_10-01:00,Observation_10-02:00,Observation_10-03:00,Observation_10-04:00,Observation_10-05:00,Observation_10-06:00,Observation_10-07:00,Observation_10-08:00,Observation_10-09:00,Observation_10-10:00,Observation_10-11:00,Observation_10-12:00,Observation_10-13:00,Observation_10-14:00,Observation_10-15:00,Observation_10-16:00,Observation_10-17:00,Observation_10-18:00,Observation_10-19:00,Observation_10-20:00,Observation_10-21:00,Observation_10-22:00,Observation_10-23:00,Observation_11-00:00,Observation_11-01:00,Observation_11-02:00,Observation_11-03:00,Observation_11-04:00,Observation_11-05:00,Observation_11-06:00,Observation_11-07:00,Observation_11-08:00,Observation_11-09:00,Observation_11-10:00,Observation_11-11:00,Observation_11-12:00,Observation_11-13:00,Observation_11-14:00,Observation_11-15:00,Observation_11-16:00,Observation_11-17:00,Observation_11-18:00,Observation_11-19:00,Observation_11-20:00,Observation_11-21:00,Observation_11-22:00,Observation_11-23:00,Observation_12-00:00,Observation_12-01:00,Observation_12-02:00,Observation_12-03:00,Observation_12-04:00,Observation_12-05:00,Observation_12-06:00,Observation_12-07:00,Observation_12-08:00,Observation_12-09:00,Observation_12-10:00,Observation_12-11:00,Observation_12-12:00,Observation_2-00:00,Observation_2-01:00,Observation_2-02:00,Observation_2-03:00,Observation_2-04:00,Observation_2-05:00,Observation_2-06:00,Observation_2-07:00,Observation_2-08:00,Observation_2-09:00,Observation_2-10:00,Observation_2-11:00,Observation_2-12:00,Observation_2-13:00,Observation_2-14:00,Observation_2-15:00,Observation_2-16:00,Observation_2-17:00,Observation_2-18:00,Observation_2-19:00,Observation_2-20:00,Observation_2-21:00,Observation_2-22:00,Observation_2-23:00,Observation_3-00:00,Observation_3-01:00,Observation_3-02:00,Observation_3-03:00,Observation_3-04:00,Observation_3-05:00,Observation_3-06:00,Observation_3-07:00,Observation_3-08:00,Observation_3-09:00,Observation_3-10:00,Observation_3-11:00,Observation_3-12:00,Observation_3-13:00,Observation_3-14:00,Observation_3-15:00,Observation_3-16:00,Observation_3-17:00,Observation_3-18:00,Observation_3-19:00,Observation_3-20:00,Observation_3-21:00,Observation_3-22:00,Observation_3-23:00,Observation_31-00:00,Observation_31-01:00,Observation_31-02:00,Observation_31-03:00,Observation_31-04:00,Observation_31-05:00,Observation_31-06:00,Observation_31-07:00,Observation_31-08:00,Observation_31-09:00,Observation_31-10:00,Observation_31-11:00,Observation_31-12:00,Observation_31-13:00,Observation_31-14:00,Observation_31-15:00,Observation_31-16:00,Observation_31-17:00,Observation_31-18:00,Observation_31-19:00,Observation_31-20:00,Observation_31-21:00,Observation_31-22:00,Observation_31-23:00,Observation_4-00:00,Observation_4-01:00,Observation_4-02:00,Observation_4-03:00,Observation_4-04:00,Observation_4-05:00,Observation_4-06:00,Observation_4-07:00,Observation_4-08:00,Observation_4-09:00,Observation_4-10:00,Observation_4-11:00,Observation_4-12:00,Observation_4-13:00,Observation_4-14:00,Observation_4-15:00,Observation_4-16:00,Observation_4-17:00,Observation_4-18:00,Observation_4-19:00,Observation_4-20:00,Observation_4-21:00,Observation_4-22:00,Observation_4-23:00,Observation_5-00:00,Observation_5-01:00,Observation_5-02:00,Observation_5-03:00,Observation_5-04:00,Observation_5-05:00,Observation_5-06:00,Observation_5-07:00,Observation_5-08:00,Observation_5-09:00,Observation_5-10:00,Observation_5-11:00,Observation_5-12:00,Observation_5-13:00,Observation_5-14:00,Observation_5-15:00,Observation_5-16:00,Observation_5-17:00,Observation_5-18:00,Observation_5-19:00,Observation_5-20:00,Observation_5-21:00,Observation_5-22:00,Observation_5-23:00,Observation_6-00:00,Observation_6-01:00,Observation_6-02:00,Observation_6-03:00,Observation_6-04:00,Observation_6-05:00,Observation_6-06:00,Observation_6-07:00,Observation_6-08:00,Observation_6-09:00,Observation_6-10:00,Observation_6-11:00,Observation_6-12:00,Observation_6-13:00,Observation_6-14:00,Observation_6-15:00,Observation_6-16:00,Observation_6-17:00,Observation_6-18:00,Observation_6-19:00,Observation_6-20:00,Observation_6-21:00,Observation_6-22:00,Observation_6-23:00,Observation_7-00:00,Observation_7-01:00,Observation_7-02:00,Observation_7-03:00,Observation_7-04:00,Observation_7-05:00,Observation_7-06:00,Observation_7-07:00,Observation_7-08:00,Observation_7-09:00,Observation_7-10:00,Observation_7-11:00,Observation_7-12:00,Observation_7-13:00,Observation_7-14:00,Observation_7-15:00,Observation_7-16:00,Observation_7-17:00,Observation_7-18:00,Observation_7-19:00,Observation_7-20:00,Observation_7-21:00,Observation_7-22:00,Observation_7-23:00,Observation_8-00:00,Observation_8-01:00,Observation_8-02:00,Observation_8-03:00,Observation_8-04:00,Observation_8-05:00,Observation_8-06:00,Observation_8-07:00,Observation_8-08:00,Observation_8-09:00,Observation_8-10:00,Observation_8-11:00,Observation_8-12:00,Observation_8-13:00,Observation_8-14:00,Observation_8-15:00,Observation_8-16:00,Observation_8-17:00,Observation_8-18:00,Observation_8-19:00,Observation_8-20:00,Observation_8-21:00,Observation_8-22:00,Observation_8-23:00,Observation_9-00:00,Observation_9-01:00,Observation_9-02:00,Observation_9-03:00,Observation_9-04:00,Observation_9-05:00,Observation_9-06:00,Observation_9-07:00,Observation_9-08:00,Observation_9-09:00,Observation_9-10:00,Observation_9-11:00,Observation_9-12:00,Observation_9-13:00,Observation_9-14:00,Observation_9-15:00,Observation_9-16:00,Observation_9-17:00,Observation_9-18:00,Observation_9-19:00,Observation_9-20:00,Observation_9-21:00,Observation_9-22:00,Observation_9-23:00,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7083603370058328,0.9741714824861423,1.0,0.8715009916817145,0.4052489892939138,0.897646159820612,0.9778435189251422,0.8259874069834001,0.8193299370790573,0.0,0.8411296088244306,0.908267203600616,0.8814792440936609,0.9867546891755079,0.974137543146947,0.9297081387239259,0.9192025945198351,0.9450280741699725,0.35953556932577907,0.862312890797701,0.9919526841438363,0.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.991272555725911,0.6492273059638343,0.9830674047541517,0.8145956936999718,0.8795269770879527,0.9764251718039714,0.8866628506010302,0.7344892082789851,0.958359621451104,0.8448064549075681,0.8676615736902364,0.7881072136788054,0.9909211811150982,0.9798583301729735,0.862279941670013,0.5430869208180533,0.929465304739258,0.33698050201546703,0.7358523337333418,0.989312220114748,0.8864190012180267
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7141931302657162,0.9853166647010261,0.6536638267456477,0.9838422486012847,0.5707709050294262,0.8769514074185426,0.9769978517085445,0.9158557527189468,0.7514568071381499,0.0,0.8456235318149321,0.8783410320186347,0.805074395576976,0.9858800553535377,0.9750502979308748,0.8665648709766047,0.5525130129652598,0.9507833327482308,0.3315174336153357,0.817833007010674,0.9890328267525047,0.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7407647440051847,0.9716947753272793,0.6655684908435141,0.9878903821674905,0.5095939515147464,0.8792463702757213,0.9825822225914804,0.9181453921007442,0.8522930185372043,0.9548895899053628,0.8457767337350628,0.8999960519562556,0.8995232904776286,0.9850862952068868,0.9714217762722324,0.9588889828180147,0.6261660293718303,0.9489126766860085,0.3345996660681975,0.8660077054253773,0.9850072012655339,0.8836784409257002
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6953985742060919,0.9209812477886544,0.7660721181100422,0.9873656789319438,0.5802455287890141,0.8810051736881005,0.9872319086560716,0.0,0.8732256485560451,0.9637223974763407,0.8516494740067408,0.8984168344585258,0.9195634759084402,0.9835197421627417,0.9672436733880558,0.971791322357715,0.7245084104162436,0.962498755164723,0.3009186617578226,0.8555864333985979,0.9834488946254161,0.883373934226553
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13350615683732991,0.9051774973463852,0.7025970078132061,0.8670584056126225,0.47382187707331974,0.8618988562766984,0.9649359666718099,0.8219805380652546,0.8589693106588242,0.949526813880126,0.9472985394750281,0.9120178451577243,0.8565669034893034,0.9648019793083205,0.9594113374428724,0.8760804784749667,0.6737816985884918,0.6502811715708997,0.8325590493422661,0.8338122907850691,0.9821266950519829,0.9238733252131546
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08554763447828906,0.8078782875339073,0.8066744990428618,0.9204049613688168,0.2774966946211821,0.8673957432948752,0.9702384484825467,0.820835718374356,0.9526547934492217,0.0,0.9475538760085792,0.9281653440720122,0.9585275848030782,0.9674348667381552,0.9515790014976891,0.9616945283936007,0.6395626762958123,0.6659614391227189,0.281218082616684,0.9176719509884419,0.9788251312361779,0.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.679196370706416,0.8314659747611747,0.7549233057009292,0.9678902341552944,0.6896881727102195,0.8827113633231864,0.9826415676593118,0.8402976531196336,0.8552831989324495,0.9689274447949526,0.8487386375242569,0.9040427967941884,0.936320537906943,0.9874436130763746,0.9691238196859352,0.9504300779846567,0.6826989334383666,0.9422138508791225,0.3270114500883732,0.8495705172740479,0.9836653261032102,0.8897685749086479
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6694750486066104,0.8393088807642411,0.7989763139084927,0.9967881353423522,0.7883388144548868,0.8836283462988713,0.9759118369672297,0.8471665712650257,0.8091767228060389,0.0,0.8485854356041262,0.9047337044494452,0.9033973761277527,0.9929040838210715,0.9753877600869045,0.923579263266902,0.7253793392520612,0.9442206328133564,0.31621385607399594,0.8296911513926609,0.9854085832788975,0.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8120544394037589,0.8167236702441326,0.7904236877346632,0.9879014830822059,0.8651524770055415,0.8828391396394704,0.9713541357577772,0.8672009158557527,0.7563255919518072,0.9777602523659306,0.8489939740578082,0.8989893008014528,0.8437495896095708,0.9952374391200944,0.9815938498325544,0.8776972335524231,0.7419286180854733,0.9448031082551743,0.2520207065661611,0.7712057095938861,0.9881907115479966,0.8894640682095005
